"group","ideal_point","std_error","lower_ci","upper_ci"
"catholic assn fdn",-0.383640948256093,0.0676566185854532,-0.516247920683581,-0.251033975828605
"democrats for life",-0.382755961712934,0.0801146680135271,-0.539780711019447,-0.225731212406421
"california constitutional rights fdn",-0.38179308766121,0.0870996978187606,-0.552508495385981,-0.21107767993644
"firearms policy fdn",-0.380762833236161,0.0870122878976914,-0.551306917515636,-0.210218748956686
"liberty counsel",-0.38069770788485,0.0934219424891533,-0.56380471516359,-0.197590700606109
"one nation under god fdn",-0.379770695844294,0.0916008572385497,-0.559308376031851,-0.200233015656737
"alaska family council",-0.379664041559303,0.0820278283439822,-0.540438585113508,-0.218889498005098
"american values",-0.379416739629155,0.103414631876857,-0.582109418107794,-0.176724061150515
"stand for georgia values action",-0.378977931598682,0.0877319740427787,-0.550932600722528,-0.207023262474836
"pelican inst for public policy",-0.377740638699144,0.0964886015839609,-0.566858297803707,-0.18862297959458
"natl rifle assn of america",-0.377339448825,0.100005843715812,-0.573350902507991,-0.181327995142009
"natl republican redistricting trust",-0.376485400159772,0.117237556148759,-0.606271010211339,-0.146699790108204
"parents defending education",-0.374851590569456,0.0826093532033231,-0.536765922847969,-0.212937258290943
"natl retail fed",-0.373555315830349,0.123906516362917,-0.616412087901667,-0.130698543759032
"church of jesus christ of latter-day saints",-0.373240697378086,0.0997387142530731,-0.568728577314109,-0.177752817442062
"assn of american physicians and surgeons",-0.372364206374468,0.0987811904153079,-0.565975339588471,-0.178753073160464
"inst for free speech",-0.371294529413189,0.0984639421519807,-0.564283856031071,-0.178305202795307
"grass roots north carolina",-0.365632591402629,0.0950409639334589,-0.551912880712208,-0.17935230209305
"queens fed of churches",-0.36443835894263,0.070945427960578,-0.503491397745363,-0.225385320139897
"american legislative exchange council",-0.362856363158966,0.0979799124398194,-0.554896991541012,-0.17081573477692
"young conservatives of texas",-0.362213813245344,0.0867999886449896,-0.532341790989523,-0.192085835501164
"family inst of connecticut action",-0.362006959341068,0.0734910838676868,-0.506049483721734,-0.217964434960402
"leadership inst",-0.360540352401129,0.0845833716297897,-0.526323760795517,-0.194756944006741
"alabama ctr for law and liberty",-0.359850375163763,0.0731960962354685,-0.503314723785281,-0.216386026542245
"jccwatch.org",-0.358495383380635,0.0938694752382666,-0.542479554847638,-0.174511211913633
"fitzgerald griffin fdn",-0.358367958756036,0.0929000043064164,-0.540451967196612,-0.17628395031546
"hawaii family forum",-0.357918131262029,0.0829811511346895,-0.520561187486021,-0.195275075038038
"nebraska family alliance",-0.357918012796755,0.0858754625127382,-0.526233919321722,-0.189602106271788
"students for life of america",-0.357280011357216,0.103088566000618,-0.559333600718427,-0.155226421996006
"ctr for urban renewal and education",-0.356757603568307,0.105870804595157,-0.564264380574815,-0.1492508265618
"equal protection project",-0.356481201984263,0.0888688990651795,-0.530664244152015,-0.182298159816511
"family research council",-0.356178542663272,0.0707029714461214,-0.49475636669767,-0.217600718628874
"protect the first fdn",-0.352682788139912,0.100892055498235,-0.550431216916453,-0.154934359363372
"first liberty inst",-0.351293650108241,0.107356716319752,-0.561712814094955,-0.140874486121527
"texas values",-0.35065941931264,0.0846252384558405,-0.516524886686087,-0.184793951939193
"natl inst of family and life advocates",-0.348009285670385,0.0758090083412019,-0.496594942019141,-0.19942362932163
"march for life education and defense fund",-0.34751133889947,0.0831111807017607,-0.510409253074921,-0.184613424724019
"billy graham evangelistic assn",-0.347046489448036,0.101255421904056,-0.545507116379986,-0.148585862516086
"susan b. anthony list",-0.34586879319394,0.076662679446043,-0.496127644908184,-0.195609941479696
"natl assn of scholars",-0.345659061258105,0.0947867954976447,-0.531441180433489,-0.159876942082722
"family action council of tennessee",-0.34551835086076,0.0959218703816,-0.533525216808696,-0.157511484912825
"california rifle and pistol assn",-0.344348985466047,0.0907368991608828,-0.522193307821377,-0.166504663110717
"madison soc fdn",-0.344313771229875,0.0930019394717942,-0.526597572594591,-0.162029969865158
"natl assn for gun rights",-0.34418835858698,0.0889786072021727,-0.518586428703238,-0.169790288470721
"american assn of christian schools",-0.34407303101098,0.0746804403893516,-0.490446694174109,-0.197699367847851
"independent women’s forum",-0.343801258455398,0.11008051281183,-0.559559063566584,-0.128043453344212
"natl religious broadcasters",-0.343757257947003,0.102035977179635,-0.543747773219087,-0.143766742674919
"freedom x",-0.343752853678548,0.0892854478699552,-0.51875233150366,-0.168753375853436
"fpc action fdn",-0.342419537689246,0.0996113945229568,-0.537657870954241,-0.147181204424251
"texas public policy fdn",-0.342397219185225,0.0884954607606186,-0.515848322276038,-0.168946116094413
"human coalition",-0.341475599288244,0.0756280235980875,-0.489706525540496,-0.193244673035993
"robertson ctr for constitutional law",-0.341251813938599,0.0699906324907155,-0.478433453620401,-0.204070174256797
"priests for life",-0.335759654498332,0.075718326869991,-0.484167575163515,-0.18735173383315
"general conference of seventh-day adventists",-0.335288940532099,0.106669545728986,-0.544361250160912,-0.126216630903286
"project on fair representation",-0.334734110573323,0.132899840429979,-0.595217797816082,-0.0742504233305638
"louis d. brandeis ctr for human rights under law",-0.334334231915177,0.0903773113871642,-0.511473762234019,-0.157194701596335
"knights of columbus",-0.332969742994515,0.101716101509865,-0.532333301953851,-0.13360618403518
"north carolina values coalition",-0.332071077258033,0.0985183572263206,-0.525167057421621,-0.138975097094445
"justice fdn",-0.332019500184613,0.105667821115423,-0.539128429570843,-0.124910570798384
"world faith fdn",-0.331153602828556,0.074909469480054,-0.477976163009462,-0.18433104264765
"american assn of senior citizens",-0.330615755052583,0.0970211463625162,-0.520777201923115,-0.140454308182051
"rights watch intl",-0.330502793938992,0.100929684398614,-0.528324975360274,-0.132680612517709
"catholics count",-0.329658043336656,0.103244974992881,-0.532018194322703,-0.127297892350608
"wisconsin inst for law and liberty",-0.328542901564438,0.101262741684573,-0.5270178752662,-0.130067927862676
"america first legal fdn",-0.328454068152838,0.114414156877232,-0.552705815632213,-0.104202320673463
"second amendment law ctr",-0.32531097015863,0.0962326457914206,-0.513926955909814,-0.136694984407445
"women’s liberation front",-0.325030161793298,0.122170602231731,-0.564484542167491,-0.0855757814191045
"natl council of young israel",-0.324929817101277,0.0765913910053247,-0.475048943471713,-0.17481069073084
"tennessee firearms fdn",-0.32375128187485,0.113651318186283,-0.546507865519966,-0.100994698229735
"family fdn (virginia)",-0.322833698723081,0.10262410708966,-0.523976948618815,-0.121690448827347
"california state sheriffs’ assn",-0.320293072034286,0.118725106466165,-0.552994280707968,-0.0875918633606029
"world vision",-0.318280767103787,0.0812508098660961,-0.477532354441335,-0.159029179766238
"care net",-0.31762527389695,0.0900420196302249,-0.494107632372191,-0.141142915421709
"california gun rights fdn",-0.315865451988587,0.0971730661968996,-0.50632466173451,-0.125406242242664
"natl shooting sports fdn",-0.315771520862954,0.0977386182025702,-0.507339212539992,-0.124203829185917
"institutional religious freedom alliance",-0.315596704615687,0.091324465115535,-0.494592656242136,-0.136600752989238
"alaska family action",-0.31424449368054,0.112000328935659,-0.533765138394432,-0.0947238489666477
"church of god in christ",-0.312944143237099,0.104639999114217,-0.518038541500965,-0.107849744973233
"general council of the assemblies of god",-0.312367828485265,0.0810828600263988,-0.471290234137006,-0.153445422833523
