"case","year","difficulty","discrimination"
"18_450",18,0.328906448981475,-1.62096415560098
"22_331",22,0.00742710881979383,1.01638114563232
"23_133",23,0.250685930159733,-1.56136171101226
"22_324",22,-1.10457418283731,-0.130861966883474
"19_423",19,0.494033347260041,-1.15350574966818
"19_309",19,0.26600095702881,-0.116328595369815
"21_463",21,0.433533593469773,2.37411910316647
"18_588",18,-1.75161009955911,-4.01672969958161
"23_719",23,0.0335470498494299,-3.45940075776955
"19_46",19,-0.464888247963385,0.16685196990645
"18_280",18,0.444209243411517,-3.38421257250172
"18_1015",18,0.769642373271677,1.37755767936816
"18_1116",18,0.190518254046641,-1.72640651194572
"20_18",20,1.13460481285539,-0.973876161433643
"19_897",19,-0.808827526938134,-2.06817947740539
"18_587",18,-1.58110710071215,-4.84255945932829
"19_1009",19,0.878678847261042,-0.197898386218456
"22_1130",22,0.599992288928331,-1.70775307989534
"20_1650",20,0.826877548995416,0.263814177868632
"20_107",20,-0.285275446964968,-3.48559808946143
"21_541",21,0.924603421477478,-0.389993662294462
"24_396",24,0.404772702200047,-1.64709463909876
"19_863",19,0.580681752074182,1.7480968118213
"21_442",21,0.718820673967747,0.148001396511142
"23_74",23,0.741280759982434,-2.40312401519399
"23_170",23,0.676173412797156,-2.70823770206352
"18_84",18,0.450085635588988,-1.7017230265357
"21_1043",21,-0.496472507681561,-0.327996867677097
"19_431",19,-0.647985756130342,-5.61817791674461
"20_1573",20,0.247975024572623,-2.36089626848773
"19_1029",19,0.742350785686188,-0.720650825851222
"23_477",23,-0.185333288363522,5.35275928446051
"18_589",18,-1.58895855173684,-4.79050419291521
"21_376",21,-0.555478783154615,-0.0678959300695619
"18_485",18,0.302907580621294,-0.658426231206154
"19_688",19,0.66868563575827,-1.61935151775499
"24_203",24,0.75256700026653,-2.29040144577561
"24_350",24,0.358333228393901,-1.30691263979868
"23_833",23,0.425663854240327,-1.99686896747869
"22_1080",22,0.572748812660555,0.0125182938000649
"22_704",22,-0.0780746199514524,1.32111922519668
"21_69",21,0.288056393726495,-1.52031783795643
"23_1150",23,0.485713521384856,-0.453188339479958
"20_443",20,-0.28811163016946,-0.628427337806125
"24_756",24,0.83829235712837,-0.840922360321383
"21_380",21,-1.02740302692522,-0.538454263583074
"18_1538",18,0.32431632739004,-1.569453865279
"21_1333",21,-1.20647639918383,-0.767898328341677
"18_422",18,-0.823361110108314,-2.3045000857557
"24_718",24,0.7115056344884,-2.51639470902513
"18_1195",18,0.151129385997442,-4.87868786801844
"19_635",19,-0.103434742226904,-1.5189243761689
"19_715",19,-0.094353000512566,-2.18158715958655
"18_966",18,-0.914741463589459,-4.56502808921531
"23_450",23,0.701826267073289,-2.54133055184317
"19_1066",19,0.487091735062794,-1.56161373860648
"23_939",23,0.107691455724116,-3.12005139586395
"21_1405",21,0.544045252011745,-0.760902930168362
"24_657",24,-0.238035328196238,2.42506473765281
"23_217",23,0.82761064812069,-0.544140455951754
"22_193",22,-0.293932704409192,1.20792167203928
"23_50",23,0.139057444945608,-1.19805465113836
"22_227",22,-0.232369823877997,-0.808893824776148
"24_38",24,0.97901488798114,-3.07581198965639
"20_569",20,0.50016977511071,-2.21485133960318
"18_663",18,0.360534571710435,-1.32947662626397
"22_942",22,0.556882402784167,-2.11354624736428
"22_58",22,0.904444847238235,3.10057188002061
"19_1434",19,0.285796776478578,1.15649313222856
"22_976",22,-0.464245864202444,3.59308363044506
"17_1623",17,-1.09900382747243,-1.60012302940199
"18_359",18,0.358759672250008,-1.66189064500394
"18_1259",18,0.697058990068491,1.46549914648576
"22_1178",22,-1.06573235472324,0.0539813548292113
"20_157",20,0.707050012555895,-2.26309677962155
