group_names,group_id
civil justice assn of california,541
college board,542
act | the app assn,543
women’s medical fund,544
democracy 21,545
pacific justice inst,546
asylum seeker advocacy project,547
jccwatch.org,548
general synod of the united church of christ,549
natl inst for reproductive health,550
mortgage bankers assn,551
family policy alliance,552
wisconsin family action,553
tripadvisor,554
article 19: global campaign for free expression,555
alianza americas,556
autistic self advocacy network,557
leadership inst,558
immigrant defenders law ctr,559
american fuel and petrochemical manufacturers,560
freedom to read fdn,561
carnegie mellon university,562
network lobby for catholic social justice,563
u.s. constitutional rights legal defense fund,564
procter and gamble company,565
afa action,566
american assn of community colleges,567
natl assn of elementary school principals,568
catholics for choice,569
alaska family action,570
women for democracy in america,571
if/when/how: lawyering for reproductive justice,572
america’s essential hospitals,573
islam and religious freedom action team of the religious freedom inst,574
american hindu coalition,575
queens fed of churches,576
jews for the preservation of firearms ownership,577
natl school boards assn,578
natl assn of social workers,579
natl employment lawyers assn,580
american gas assn,581
intl mayan league,582
intl refugee assistance project,583
citizens for responsibility and ethics in washington,584
nc values inst,585
postmates,586
intl law enforcement educators and trainers assn,587
constitution party natl comm,588
natl catholic bioethics ctr,589
assn of mature american citizens,590
comm for justice,591
intl ctr for law and economics,592
mountain states legal fdn,593
credit union natl assn,594
constitutional accountability ctr,595
kansas family voice,596
sikh coalition,597
main street alliance,598
senior citizens league,599
north carolina values coalition,600
human rights first,601
american gateways,602
mastercard,603
due process inst,604
natl assn of nurse practitioners in women’s health,605
ujima: natl ctr on violence against women in the black community,606
teach for america,607
middle states commission on higher education,608
baptist joint comm for religious liberty,609
family inst of connecticut action,610
idaho family policy ctr,611
assn of public and land-grant universities,612
catholicvote.org,613
hispanic fed,614
woodhull freedom fdn,615
cato inst,616
public citizen fdn,617
asian americans advancing justice | aajc,618
common cause,619
lawyers’ comm for civil rights under law,620
union for reform judaism,621
concerned women for america,622
glma: health professionals advancing lgbtq equality,623
nurses for sexual and reproductive health,624
alabama ctr for law and liberty,625
ultraviolet,626
asian and pacific islander american health forum,627
young ctr for immigrant children’s rights,628
medical students for choice,629
