case_names,case_id,year
19_1212,516,19
20_38,517,20
19_1019,518,19
20_315,519,20
19_756,520,19
20_1800,521,20
19_1392,522,19
18_1437,523,18
22_585,524,22
22_660,525,22
24_20,526,24
20_1786,527,20
21_476,528,21
24_435,529,24
20_902,530,20
18_877,531,18
23_1197,532,23
21_1086,533,21
